food,protein
치즈라면,16.8
치즈김밥,16.86
오리불고기,16.87
리얼프리미엄 초코 L,16.9
글램핑 바비큐(오리지널 L),17.0
카라멜브레드,17.1
스테이크 불갈비 피자(R),17.11
쇠고기된장찌개,17.12
쉬림프 깐풍 피자(R),17.18
클래식 블루베리 와플,17.2
달걀말이,17.21
계란볶음밥,17.22
인절미눈꽃빙수,17.3
오징어산적,17.37
농어초밥,17.43
순살치킨앤프라이,17.46
참치김밥,17.5
쉬림프 도리아,17.54
김치볶음밥,17.56
둘깨칼국수,17.6
두부애호박된장찌개,17.61
깐풍텐더,17.68
치킨텐더,17.7
시나몬 초콜릿 venti (hot),17.72
깻잎전,17.74
홍합산적,17.78
그린민트 초콜릿 venti (hot),17.8
홍어무침,17.85
닭곰탕,17.88
게살죽,17.9
소라산적,17.92
리얼불고기 더블치즈엣지(오리지널 M),18.0
치킨텐더,18.05
치킨 텐더 피자(R),18.11
이탈리안 에그디쉬,18.2
송이덮밥,18.21
주꾸미볶음,18.33
부대찌개,18.4
돈까스김밥,18.45
물만두,18.53
오징어튀김,18.56
연어롤,18.57
시푸드 리얼 시카고(L),18.69
소고기버섯죽,18.75
돼지고기찌개,18.76
소세지볶음,18.8
불고기 피자 바이트(L),18.81
핫 초콜릿 venti (hot),18.87
연어초밥,18.88
깐풍기,18.89
롱치즈스틱 3ea,18.94
글램핑 바비큐(슈퍼시드 함유 도우L),19.0
만두,19.05
스테이크 불갈비 피자(L),19.06
육회비빔밥,19.16
닭개장,19.17
잣죽,19.18
실크 팥 빙수,19.2
꽁치김치찌개,19.27
곰탕,19.4
두부김치,19.47
돼지갈비,19.5
오일소스스파게티,19.56
동그랑땡(육원전),19.62
크림쉬림프피자(L),19.63
오징어볶음,19.69
홍합미역국,19.7
멸치볶음,19.72
쇠고기볶음밥,19.74
자장면,19.77
고르곤졸라 포테이토 L,19.8
새우볶음,19.81
장어고추장구이,19.82
몬스터 포테이토 피자(R),19.86
허니브레드,19.9
막국수,20.0
두부고추장찌개,20.04
떡만둣국,20.06
돼지고기 메추리알 장조림,20.07
짜장밥,20.08
플레인와플&젤라또,20.2
회무침,20.22
치즈마떡,20.23
어죽,20.4
양념게장,20.45
두부전,20.46
허니치즈퐁당마마츄리,20.5
곰탕,20.57
낙지덮밥,20.58
젤라또 쉐이크,20.6
햄치즈 피아디나,20.61
라조기,20.66
순대볶음,20.7
콤비네이션 피자(R),20.71
북어조림,20.83
열무냉면,20.84
BLT샌드위치,20.9
문어밤 슈림프(오리지널 L),21.0
햄치즈샌드위치,21.15
골드 추가 라지,21.17
떡만두국,21.18
블루베리치즈빙수,21.2
짬뽕라면,21.3
콤비네이션피자,21.35
포테이토 피자(R),21.42
만둣국,21.43
난자완스,21.63
맵신 피자(R),21.64
쥐포구이,21.67
쇠갈비찜,21.75
크림소스스파게티,21.79
소고기국밥,21.8
잔멸치볶음,21.82
문어고추장볶음,21.93
바지락조개국,22.0
깐풍 피자(R),22.03
달콤포테이토 피자(L),22.09
핫윙,22.1
잡채밥,22.11
사골국,22.25
짬뽕,22.3
불닭피자 피자(L),22.31
간자장,22.33
불고기 피자(R),22.41
골드 불고기 피자(L),22.47
꼬리곰탕,22.51
김치만두,22.53
몬스터 콤비네이션 피자(R),22.58
서대회무침,22.6
동태전,22.64
추어탕,22.7
고구마 오븐 스파게티,22.74
페파로니 피자(R),22.76
닭고추장조림,22.79
해물칼국수,22.8
스테이크 불갈비 피자 바이트(L),22.88
해물완자전,22.92
돼지고기볶음,22.96
BBQ리얼 시카고(L),22.98
리얼불고기(나폴리M),23.0
점보 콤비네이션피자(L),23.01
갈비치킨피자(L),23.02
햄채소볶음,23.04
칼국수,23.09
선짓국(선지해장국),23.18
참치샌드위치,23.3
새우볶음밥,23.33
고구마 피자(R),23.36
충무김밥,23.42
쇠고기전골,23.66
닭강정,23.68
스테이크 불갈비 피자(R),23.77
소시지볶음,23.88
꽁치찌개,24.0
떡국,24.01
바지락칼국수,24.04
뱅어포구이,24.06
페파로니 피자(L),24.12
참치죽,24.19
함박스테이크,24.2
몬스터 불고기 피자(R),24.26
생선까스,24.33
토마토소스스파게티,24.35
고구마 피자(L),24.41
황태해장국,24.5
우렁된장국,24.6
칠리치즈 포테이토 피자(L),24.67
그릴윙봉,24.7
치킨 텐더 피자(R),24.76
쉬림프 깐풍 피자(R),24.78
치즈불고기 핫도그,24.8
오징어조림,24.82
치킨버거,24.86
반달피자(L),24.88
글램핑 바비큐 더블치즈엣지(오리지널 L),25.0
몬스터 고구마 피자(R),25.09
해물볶음밥,25.1
몽뻬르 피자(L),25.27
생선초밥(모듬),25.42
새우튀김,25.52
뼈해장국,25.55
간짜장,25.59
오삼불고기,25.6
맵신피자(L),25.62
콤비네이션 피자(L),25.64
마떡,25.65
햄버거,25.69
치즈 핵폭탄 피자(L),25.7
가자미전,25.76
돼지껍데기볶음,25.8
새우탕,25.84
오징어덮밥,25.85
오므라이스,25.98
붕장어소금구이,26.0
햄구이,26.02
가오리회무침,26.07
사골만두국,26.19
갈릭치즈브레드,26.2
삼선볶음밥,26.24
참치 샌드위치,26.34
불고기덮밥,26.39
골드 스테이크 불갈비 피자(L),26.55
쇠고기버섯볶음,26.66
치킨텐더 L,26.7
전복탕,26.8
콩비지찌개,26.95
햄버그스테이크,26.96
이탈리안 치즈 피자(R),26.98
오리지날 윙 4조각,27.0
닭조림,27.05
생선초밥(광어),27.07
양념왕갈비,27.1
우삼겹피자(L),27.16
탕수육,27.21
고기만두,27.23
팔보채,27.33
불고기피자,27.4
밀크티,27.5
몬스터 불고기 피자(L),27.54
국밥,27.6
치킨 텐더 피자(L),27.61
슈퍼콤비네이션피자,27.62
몬스터 하와이안 쉬림프 피자(R),27.69
가자미식해,27.73
불고기버거,27.76
치킨까스,27.91
페파로니 피자 바이트(L),27.94
해물토마토소스스파게티,27.97
포테이토피자,28.0
굴비구이,28.02
런천미트구이,28.09
북어찜,28.1
소시지튀김,28.13
도이치 소시지 피자(L),28.19
고구마 피자 바이트(L),28.23
맵신 피자(R),28.29
비빔냉면,28.33
새우링 4ea,28.41
몬스터 콤비네이션 피자(L),28.42
순대국밥,28.56
메기매운탕,28.6
고구마피자,28.78
짬뽕밥,28.81
칠리치즈 포테이토 피자(L),28.87
햄앤체다피자,28.88
코다리찜,28.97
치즈가든(오리지널 L),29.0
회냉면,29.04
해물매운탕,29.07
치킨텐더 10조각,29.09
소고기샤브샤브,29.1
참치덮밥,29.2
포테이토 피자 바이트(L),29.24
몬스터 고구마 피자(L),29.36
페퍼로니피자,29.4
맵신피자 바이트(L),29.44
우동(중식),29.45
고등어튀김,29.46
몬스터 하와이안 쉬림프 피자(L),29.48
돼지고기완자전,29.56
돼지불고기,29.71
나폴리슈림프피자,29.73
밴댕이무침,29.8
골드 추가 점보,29.94
참치완자전,29.99
시카고딥 노엣지R,30.0
쟁반국수,30.05
장어덮밥,30.09
후라이드 치킨(R),30.18
회덮밥,30.21
부라타치즈피자,30.25
닭고기대파꼬치구이,30.34
제육볶음,30.37
해물크림소스스파게티,30.39
양념장어구이,30.77
비빔밥,30.89
케이준 오븐 스파게티,30.93
불고기피자,30.94
치즈블라썸 스테이크 노엣지 R,31.0
콩국수,31.2
몬스터 포테이토 피자(L),31.25
키조개구이,31.38
치즈피자,31.4
치킨 텐더 피자 바이트(L),31.43
죽순쇠고기볶음,31.46
깐풍 피자(L),31.59
골드 페파로니 피자(L),31.61
